#Year   glob_temp_dev  RF_nonCO2  RF_budget  co2_atm     fossil_CO2_em   budget_C_uptake
2221    -9999.9999     1.04       0          -9999.9999  0.7838559467    0
2222    -9999.9999     1.04       0          -9999.9999  0.7813898538    0
2223    -9999.9999     1.04       0          -9999.9999  0.7789404689    0
2224    -9999.9999     1.04       0          -9999.9999  0.7765075924    0
2225    -9999.9999     1.04       0          -9999.9999  0.7740910276    0
2226    -9999.9999     1.04       0          -9999.9999  0.7716905812    0
2227    -9999.9999     1.04       0          -9999.9999  0.7693060629    0
2228    -9999.9999     1.04       0          -9999.9999  0.7669372854    0
2229    -9999.9999     1.04       0          -9999.9999  0.7645840645    0
2230    -9999.9999     1.04       0          -9999.9999  0.762246219     0
2231    -9999.9999     1.04       0          -9999.9999  0.7599235705    0
2232    -9999.9999     1.04       0          -9999.9999  0.7576159433    0
2233    -9999.9999     1.04       0          -9999.9999  0.7553231647    0
2234    -9999.9999     1.04       0          -9999.9999  0.7530450646    0
2235    -9999.9999     1.04       0          -9999.9999  0.7507814754    0
2236    -9999.9999     1.04       0          -9999.9999  0.7485322325    0
2237    -9999.9999     1.04       0          -9999.9999  0.7462971734    0
2238    -9999.9999     1.04       0          -9999.9999  0.7440761385    0
2239    -9999.9999     1.04       0          -9999.9999  0.7418689703    0
2240    -9999.9999     1.04       0          -9999.9999  0.7396755141    0
2241    -9999.9999     1.04       0          -9999.9999  0.7374956173    0
2242    -9999.9999     1.04       0          -9999.9999  0.7353291297    0
2243    -9999.9999     1.04       0          -9999.9999  0.7331759033    0
2244    -9999.9999     1.04       0          -9999.9999  0.7310357925    0
2245    -9999.9999     1.04       0          -9999.9999  0.7289086538    0
2246    -9999.9999     1.04       0          -9999.9999  0.7267943458    0
2247    -9999.9999     1.04       0          -9999.9999  0.7246927292    0
2248    -9999.9999     1.04       0          -9999.9999  0.722603667     0
2249    -9999.9999     1.04       0          -9999.9999  0.720527024     0
2250    -9999.9999     1.04       0          -9999.9999  0.7184626671    0
2251    -9999.9999     1.04       0          -9999.9999  0.7164104652    0
2252    -9999.9999     1.04       0          -9999.9999  0.7143702889    0
2253    -9999.9999     1.04       0          -9999.9999  0.7123420109    0
2254    -9999.9999     1.04       0          -9999.9999  0.7103255059    0
2255    -9999.9999     1.04       0          -9999.9999  0.70832065      0
2256    -9999.9999     1.04       0          -9999.9999  0.7063273215    0
2257    -9999.9999     1.04       0          -9999.9999  0.7043454001    0
2258    -9999.9999     1.04       0          -9999.9999  0.7023747677    0
2259    -9999.9999     1.04       0          -9999.9999  0.7004153073    0
2260    -9999.9999     1.04       0          -9999.9999  0.6984669041    0
2261    -9999.9999     1.04       0          -9999.9999  0.6965294447    0
2262    -9999.9999     1.04       0          -9999.9999  0.6946028173    0
2263    -9999.9999     1.04       0          -9999.9999  0.6926869116    0
2264    -9999.9999     1.04       0          -9999.9999  0.6907816191    0
2265    -9999.9999     1.04       0          -9999.9999  0.6888868326    0
2266    -9999.9999     1.04       0          -9999.9999  0.6870024466    0
2267    -9999.9999     1.04       0          -9999.9999  0.6851283569    0
2268    -9999.9999     1.04       0          -9999.9999  0.6832644607    0
2269    -9999.9999     1.04       0          -9999.9999  0.681410657     0
2270    -9999.9999     1.04       0          -9999.9999  0.6795668457    0
2271    -9999.9999     1.04       0          -9999.9999  0.6777329285    0
2272    -9999.9999     1.04       0          -9999.9999  0.6759088081    0
2273    -9999.9999     1.04       0          -9999.9999  0.6740943887    0
2274    -9999.9999     1.04       0          -9999.9999  0.672289576     0
2275    -9999.9999     1.04       0          -9999.9999  0.6704942766    0
2276    -9999.9999     1.04       0          -9999.9999  0.6687083987    0
2277    -9999.9999     1.04       0          -9999.9999  0.6669318514    0
2278    -9999.9999     1.04       0          -9999.9999  0.6651645455    0
2279    -9999.9999     1.04       0          -9999.9999  0.6634063925    0
2280    -9999.9999     1.04       0          -9999.9999  0.6616573053    0
